author_id_,after_timegap_,senti_mean,senti_size,senti_category_mean,retweet_size,reply_size,bot_interaction,senti_mean_t2,interaction_times,bot_senti,interaction_senti,retweet_count_original,like_count_original,retweet_count_interaction,like_count_interaction,topic,burstiness,cascade,pos_num,RF_bot_pred_bot,RF_bot_prob_bot,DL_bot_pred_bot,DL_bot_prob_bot,XGB_bot_pred_bot,XGB_bot_prob_bot,BOTOMETER_bot_prob_bot,astroturf_score_bot,fake_follower_score_bot,financial_score_bot,other_score_bot,overall_score_bot,self_declared_score_bot,spammer_score_bot,RF_bot_prob_user,RF_bot_pred_bot_user,DL_bot_pred_user,DL_bot_prob_user,XGB_bot_pred_user,XGB_bot_prob_user,BOTOMETER_bot_prob_user,astroturf_score_human,fake_follower_score_human,financial_score_human,other_score_human,overall_score_human,self_declared_score_human,spammer_score_human,retweet_log_original,like_log_original,without_like_original,retweet_log_interaction,like_log_interaction,without_like_interaction,few_like_original,few_like_interaction,frequent_interact,sample_uid,log_daily_tweet,senti_abs,senti_abs_t2,tg1,senti_abs_sqrt,senti_abs_sqrt_t2,after_10days,after_20days,after_30days,tg1_10days,tg1_20days,tg1_30days
0,3,0.5994,1,1.0,1.0,0.0,1,,1,0.0,0.0,0.0,1.0,0,0,2.0,-0.3205325502788841,0.0,6.0,1.0,0.5901516523772745,0,0.185905635356903,0,0.1317164599895477,0.7967247202742335,1.4,2.2,0.0,3.0,3.0,2.2,0.0,0.3051491256088918,0.0,0,0.185905635356903,0,0.0322982482612133,0.3626456412463227,1.0,0.3,0.0,0.4,0.3,0.2,0.0,0.0,0.6931471805599453,0,0.0,0.0,1,1,1,0,,0.0,0.5994,,3,0.7742092740338364,,1,0,0,1,0,0
0,3,0.5994,1,1.0,1.0,0.0,1,,1,0.0,0.0,0.0,1.0,0,0,2.0,-0.3205325502788841,0.0,6.0,1.0,0.5901516523772745,0,0.185905635356903,0,0.1317164599895477,0.7967247202742335,1.4,2.2,0.0,3.0,3.0,2.2,0.0,0.3051491256088918,0.0,0,0.185905635356903,0,0.0322982482612133,0.3626456412463227,1.0,0.3,0.0,0.4,0.3,0.2,0.0,0.0,0.6931471805599453,0,0.0,0.0,1,1,1,0,,0.0,0.5994,,3,0.7742092740338364,,1,0,0,1,0,0
1,-9,0.8378,2,1.0,0.0,2.0,1,,1,,0.4576,0.0,0.0,0,1,2.0,-0.0287985119601975,0.0,22.0,1.0,0.8148130928819636,0,0.185905635356903,1,0.6665175557136536,0.7053377817049258,1.2,1.6,0.0,2.0,1.0,0.4,0.0,0.428459216755351,0.0,0,0.185905635356903,0,0.011906805448234,0.4479465575931997,0.9,0.4,0.0,1.5,0.4,0.3,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.8378,,-9,0.9153141537199128,,0,0,0,0,0,0
1,-4,0.0,2,0.0,0.0,2.0,1,,1,,0.4576,0.0,0.0,0,1,2.0,-0.0287985119601975,0.0,22.0,1.0,0.8148130928819636,0,0.185905635356903,1,0.6665175557136536,0.7053377817049258,1.2,1.6,0.0,2.0,1.0,0.4,0.0,0.428459216755351,0.0,0,0.185905635356903,0,0.011906805448234,0.4479465575931997,0.9,0.4,0.0,1.5,0.4,0.3,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.0,,-4,0.0,,0,0,0,0,0,0
1,23,0.2009,2,1.0,0.0,2.0,1,0.8378,1,,0.4576,0.0,0.0,0,1,2.0,-0.0287985119601975,0.0,22.0,1.0,0.8148130928819636,0,0.185905635356903,1,0.6665175557136536,0.7053377817049258,1.2,1.6,0.0,2.0,1.0,0.4,0.0,0.428459216755351,0.0,0,0.185905635356903,0,0.011906805448234,0.4479465575931997,0.9,0.4,0.0,1.5,0.4,0.3,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.2009,0.8378,23,0.4482186966202994,0.8378,0,0,1,0,0,1
2,-30,-0.51555,4,-1.0,4.0,0.0,1,,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,1.3862943611198906,0.51555,,-30,0.7180181056212998,,0,0,0,0,0,0
2,-28,0.4215,2,1.0,2.0,0.0,1,,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.4215,,-28,0.6492303135251772,,0,0,0,0,0,0
2,-27,-0.4767,2,-1.0,2.0,0.0,1,-0.51555,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.4767,0.51555,-27,0.6904346457123948,0.51555,0,0,0,0,0,0
2,-23,0.5499,2,1.0,2.0,0.0,1,0.4215,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.5499,0.4215,-23,0.7415524256584966,0.4215,0,0,0,0,0,0
2,-22,-0.296,2,-1.0,2.0,0.0,1,-0.4767,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.296,0.4767,-22,0.5440588203494178,0.4767,0,0,0,0,0,0
